Bin ID	Method	Tax	Tax 16S	Length	GC perc	Num contigs	Disparity	Completeness	Contamination	Strain het	Coverage 100	TPM 100	Coverage 102	TPM 102	Coverage 104	TPM 104	Coverage 106	TPM 106	Coverage 108	TPM 108	Coverage 110	TPM 110	Coverage 11	TPM 11	Coverage 123	TPM 123	Coverage 124	TPM 124	Coverage 125	TPM 125	Coverage 126	TPM 126	Coverage 127	TPM 127	Coverage 128	TPM 128	Coverage 129	TPM 129	Coverage 130	TPM 130	Coverage 131	TPM 131	Coverage 132	TPM 132	Coverage 133	TPM 133	Coverage 134	TPM 134	Coverage 13	TPM 13	Coverage 15	TPM 15	Coverage 17	TPM 17	Coverage 19	TPM 19	Coverage 1	TPM 1	Coverage 21	TPM 21	Coverage 23	TPM 23	Coverage 25	TPM 25	Coverage 27	TPM 27	Coverage 29	TPM 29	Coverage 31	TPM 31	Coverage 44	TPM 44	Coverage 45	TPM 45	Coverage 46	TPM 46	Coverage 47	TPM 47	Coverage 48	TPM 48	Coverage 49	TPM 49	Coverage 4	TPM 4	Coverage 50	TPM 50	Coverage 51	TPM 51	Coverage 52	TPM 52	Coverage 53	TPM 53	Coverage 54	TPM 54	Coverage 55	TPM 55	Coverage 80	TPM 80	Coverage 83	TPM 83	Coverage 88	TPM 88	Coverage 90	TPM 90	Coverage 92	TPM 92	Coverage 94	TPM 94	Coverage 96	TPM 96	Coverage 98	TPM 98	Coverage 9	TPM 9
MAG_010	DAS	k_Bacteria	superkingdom:Bacteria;clade:Terrabacteria group;clade:Cyanobacteria/Melainabacteria group;phylum:Candidatus Melainabacteria;order:Vampirovibrionales;genus:Vampirovibrio	2345595	33.82	150	0.0	90.6	0.86	0.0	2.108	586.033	2.091	518.307	2.554	807.434	3.824	1002.307	2.737	793.047	2.013	619.574	1.48	358.097	18.071	5523.922	19.954	6172.008	18.64	6213.113	19.608	6225.571	26.105	7783.213	20.849	6626.896	6.044	2033.56	8.339	2645.438	11.327	3664.026	20.827	7321.403	22.13	7484.967	14.503	4501.584	1.053	330.065	1.25	319.169	1.137	316.473	1.215	296.058	1.532	1835.422	1.355	336.137	1.321	294.001	1.204	343.865	1.052	272.697	1.232	326.472	1.052	326.34	1.894	566.091	3.245	1026.818	1.137	361.075	0.857	245.004	1.024	311.006	1.278	376.061	1.787	1960.143	0.876	353.573	1.366	487.832	0.765	206.585	0.675	194.604	0.835	265.115	0.588	181.408	1.594	1754.662	2.292	2717.021	3.028	700.275	2.188	625.455	2.785	883.103	3.236	773.099	1.69	564.485	2.401	770.578	1.021	315.756
MAG_011	DAS	k_Bacteria;n_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Oscillospiraceae		1511472	54.07	261	0.028	70.67	1.29	33.33	0.113	31.352	0.207	51.197	0.202	63.806	0.12	31.467	0.201	58.246	0.185	56.822	0.403	97.589	0.549	167.833	0.454	140.348	1.58	526.561	0.736	233.553	0.51	152.035	0.523	166.134	1.12	376.812	1.172	371.529	1.403	453.818	0.75	263.619	0.921	311.518	0.808	250.715	0.38	119.215	0.35	89.415	0.315	87.699	0.535	130.322	1.904	2280.006	0.32	79.516	0.341	75.766	0.387	110.621	0.494	128.061	0.427	113.28	0.505	156.726	0.464	138.693	0.535	169.237	1.732	549.819	2.683	767.752	3.467	1053.733	2.831	833.412	0.429	470.517	1.338	539.954	1.628	581.527	1.161	313.724	4.199	1212.102	4.434	1407.453	2.982	920.094	2.404	2645.715	0.597	707.508	0.096	22.234	0.22	62.725	0.086	27.412	0.153	36.593	0.155	51.677	0.193	61.94	0.339	104.91
MAG_012	DAS	k_Bacteria;n_FCB group;n_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales		2571142	52.24	245	0.259	77.53	2.51	8.33	0.376	104.633	0.492	121.972	0.62	196.055	0.282	74.037	0.445	128.928	0.454	139.731	0.456	110.208	8.558	2614.341	5.979	1848.377	3.886	1294.254	1.113	353.029	5.412	1612.363	1.961	622.981	1.818	611.175	4.362	1382.692	2.076	671.127	1.637	574.861	1.91	645.454	1.296	402.022	0.352	110.428	0.391	99.81	0.331	91.992	0.431	105.119	2.592	3103.36	0.415	102.895	0.696	154.751	0.302	86.429	0.456	118.234	0.348	92.213	0.326	101.084	0.767	229.116	1.488	470.653	0.833	264.314	0.502	143.541	1.067	323.925	0.801	235.564	3.918	4296.322	2.391	964.994	1.77	631.862	0.876	236.639	0.539	155.672	1.066	338.299	0.769	237.212	2.608	2869.723	3.574	4235.929	0.447	103.516	0.685	195.785	0.248	78.618	0.359	85.712	0.565	188.684	0.435	139.585	0.252	78.039
MAG_013	DAS	k_Bacteria;n_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Eubacteriaceae;g_Pseudoramibacter;s_Pseudoramibacter alactolyticus		1536049	53.84	45	0.638	82.14	0.0	0.0	71.453	19864.071	99.126	24567.613	12.981	4102.344	5.98	1566.695	12.463	3610.272	24.233	7453.692	6.359	1538.396	6.648	2030.36	3.776	1167.128	10.751	3580.387	2.797	887.297	4.961	1477.871	13.717	4356.24	76.322	25656.282	22.749	7210.503	6.028	1948.454	5.28	1854.382	4.518	1526.781	11.207	3475.133	5.033	1578.096	3.907	997.908	2.535	705.504	2.907	708.612	1.105	1323.416	50.968	12643.292	53.25	11847.015	2.111	603.24	3.538	917.364	4.654	1233.419	3.385	1051.189	0.714	213.245	1.225	387.592	2.601	825.436	2.21	632.076	0.849	257.844	0.67	197.194	0.478	524.571	20.033	8082.838	30.31	10820.432	0.558	150.658	0.73	210.561	0.746	236.923	0.654	201.607	1.165	1281.985	0.529	627.088	11.689	2702.548	12.714	3632.992	5.787	1834.514	1.88	448.917	6.886	2299.81	31.829	10209.557	2.273	703.143
MAG_014	DAS	k_Bacteria;n_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Oscillospiraceae		2552457	59.91	447	0.078	96.36	0.97	100.0	0.395	109.795	0.596	147.679	1.294	409.42	1.043	273.391	1.017	294.472	1.526	469.535	1.677	405.583	2.834	865.724	3.508	1084.361	5.355	1783.853	5.978	1897.114	5.995	1786.405	5.03	1597.594	1.532	514.955	3.038	962.923	4.473	1446.147	4.711	1655.327	6.689	2261.419	10.952	3397.779	6.683	2096.557	3.017	770.943	3.289	915.736	3.119	760.217	8.506	10183.211	0.699	173.42	0.733	163.21	2.171	620.763	2.46	637.669	2.677	709.747	2.405	747.039	3.818	1140.999	2.269	717.911	7.858	2495.215	4.922	1407.935	6.493	1972.902	3.656	1075.905	2.2	2412.611	1.52	613.552	1.537	548.678	4.208	1136.824	2.008	579.287	8.382	2660.417	3.411	1051.936	9.932	10925.623	3.089	3660.262	0.509	117.643	0.984	281.315	0.498	157.961	1.132	270.449	0.679	227.006	1.05	336.983	1.975	610.931
MAG_015	DAS	k_Bacteria;n_FCB group;n_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales		2487815	51.92	61	0.0	97.25	1.12	0.0	0.282	78.496	2.0	495.888	0.318	100.418	0.146	38.266	0.285	82.489	0.68	209.184	4.193	1014.287	0.266	81.368	0.267	82.407	0.508	169.225	0.327	103.642	0.345	102.684	0.315	100.133	0.605	203.307	0.703	222.731	0.351	113.357	0.327	114.79	0.39	131.952	0.437	135.488	4.682	1468.101	3.802	971.492	3.749	1043.45	5.446	1327.284	0.729	872.587	4.428	1099.079	5.881	1309.086	4.246	1213.634	7.169	1858.706	4.471	1185.258	3.658	1135.536	1.914	571.937	0.792	250.509	1.153	366.13	1.392	398.255	1.085	329.682	0.921	270.966	0.924	1013.236	4.865	1963.249	4.281	1528.963	1.531	413.772	1.796	518.135	0.788	250.093	0.902	278.148	0.756	831.674	0.882	1045.805	0.126	29.199	0.298	85.337	0.22	69.761	0.253	60.51	0.381	127.353	0.395	126.678	3.086	954.697
MAG_016	DAS	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae	superkingdom:Bacteria;phylum:Proteobacteria;class:Alphaproteobacteria;order:Rhodobacterales;family:Rhodobacteraceae;genus:Rhodobacter	2856140	68.1	563	0.019	70.94	0.64	25.0	0.948	263.539	0.96	238.093	0.7	221.244	1.275	334.304	0.9	260.691	0.593	182.546	0.893	215.986	1.092	333.601	0.662	204.629	1.754	584.254	1.375	436.067	0.794	236.567	1.706	541.827	0.553	185.943	0.889	281.851	3.799	1228.036	1.319	463.266	2.027	685.224	2.038	631.94	0.541	169.719	0.784	200.385	0.675	187.957	0.654	159.26	0.354	423.898	0.855	212.282	0.789	175.526	0.651	186.106	0.613	158.772	0.753	199.576	0.566	175.789	0.644	192.257	1.07	338.567	1.045	331.793	0.965	276.029	0.628	190.585	0.892	262.374	0.318	348.758	1.135	458.052	1.508	538.492	1.723	465.447	0.63	181.702	0.589	186.991	1.258	387.772	0.426	468.452	0.406	480.875	1.262	291.859	0.776	221.799	0.956	303.41	1.167	278.66	0.447	149.31	0.714	229.013	0.643	198.792
MAG_017	DAS	k_Bacteria;n_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Lachnospiraceae;n_unclassified Lachnospiraceae;s_Lachnospiraceae bacterium		3254641	39.88	330	0.008	95.94	0.31	0.0	11.463	3189.75	13.475	3343.005	23.652	7482.237	10.801	2832.834	14.103	4088.855	22.175	6827.796	33.548	8122.465	0.926	282.931	1.548	478.967	0.54	180.052	1.268	402.673	0.52	155.051	0.671	213.292	0.599	201.379	0.558	176.997	0.869	281.185	0.744	261.378	0.661	223.622	0.912	283.168	13.969	4383.234	55.417	14168.652	24.727	6886.171	20.735	5056.292	1.31	1569.543	3.943	979.071	6.344	1412.767	31.304	8952.544	20.355	5279.26	11.85	3143.901	14.457	4490.419	2.572	768.989	1.001	316.921	0.895	284.431	3.101	887.579	1.605	487.838	1.554	457.686	0.617	677.392	0.815	329.134	0.728	259.975	3.781	1022.087	3.604	1040.46	1.228	390.107	1.007	310.81	1.188	1308.244	0.766	908.89	13.859	3207.829	19.281	5514.499	12.142	3853.573	30.833	7369.266	34.944	11680.433	19.749	6340.881	18.755	5805.603
MAG_018	DAS	k_Bacteria;n_FCB group;n_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;n_unclassified Bacteroidales;s_Bacteroidales bacterium		3413884	47.74	241	0.383	91.54	3.54	0.0	2.038	566.733	4.706	1166.898	0.326	103.13	0.31	81.191	0.3	86.915	0.379	116.516	16.771	4058.442	0.627	191.48	0.422	130.503	1.081	360.186	0.647	205.293	0.478	142.533	0.701	222.57	7.376	2480.873	11.171	3542.549	0.518	167.579	0.479	168.319	0.516	174.594	0.757	234.937	27.656	8675.626	21.703	5546.099	19.204	5346.026	28.377	6916.944	0.89	1065.505	16.456	4085.112	43.187	9615.065	19.177	5483.076	25.809	6691.185	19.523	5177.425	22.953	7128.536	12.096	3615.665	5.327	1685.831	18.891	5998.703	13.888	3974.034	17.655	5364.035	13.223	3891.557	0.576	631.724	21.502	8680.336	30.598	10929.392	19.333	5224.089	14.841	4283.3	11.175	3547.553	16.596	5120.343	1.017	1119.327	0.611	724.535	0.92	212.882	0.507	145.014	0.29	91.899	0.533	127.246	0.267	89.164	0.406	130.401	17.93	5550.022
MAG_019	DAS	k_Bacteria;n_Terrabacteria group;p_Firmicutes;c_Clostridia		1473081	50.44	275	0.0	79.02	1.82	100.0	0.162	45.149	0.232	57.538	0.222	70.313	0.169	44.254	0.196	56.854	0.192	59.146	0.262	63.375	1.168	356.755	0.919	284.089	1.704	567.873	2.141	679.467	1.335	397.676	1.778	564.687	2.186	735.312	2.433	771.562	1.64	530.422	1.275	447.809	1.778	601.121	1.623	503.258	0.235	73.635	0.222	56.748	0.218	60.752	0.304	74.019	1.07	1280.348	0.157	38.981	0.195	43.41	0.247	70.527	0.311	80.569	0.244	64.654	0.264	81.838	1.575	470.647	0.855	270.457	1.518	481.765	0.991	283.634	1.325	402.327	1.406	413.725	0.522	572.034	0.435	175.501	0.374	133.414	2.926	790.344	1.644	474.203	1.28	406.136	1.091	336.498	1.238	1361.912	1.008	1194.835	0.146	33.798	0.153	43.825	0.132	41.804	0.3	71.627	0.181	60.483	0.245	78.628	0.213	66.018
MAG_020	DAS	k_Bacteria;n_Terrabacteria group;p_Firmicutes;n_unclassified Firmicutes sensu stricto;s_Firmicutes bacterium		1765863	58.95	149	0.0	92.79	0.0	0.0	0.495	137.518	1.156	286.603	0.825	261.004	0.577	151.196	1.028	297.609	0.663	203.817	1.184	286.252	5.24	1600.664	10.348	3198.313	5.691	1895.269	4.122	1308.033	6.579	1960.069	6.292	1998.097	3.915	1316.166	9.704	3076.021	6.826	2206.748	6.995	2456.871	7.802	2636.729	6.822	2115.844	1.154	361.735	1.018	260.18	0.93	258.815	1.401	341.245	3.785	4531.141	0.945	234.41	0.948	210.908	0.965	275.659	1.115	288.827	1.233	326.749	1.2	372.223	2.384	712.3	1.597	505.203	6.123	1943.483	1.248	356.946	5.386	1635.359	1.275	375.196	1.05	1151.848	3.303	1332.794	2.676	955.352	1.366	368.91	1.507	434.737	7.087	2249.06	1.903	586.872	4.716	5187.797	1.345	1594.487	0.627	145.083	0.826	235.952	0.431	136.564	0.68	162.551	0.585	195.229	0.706	226.706	1.016	314.144
MAG_021	DAS	k_Bacteria;n_FCB group;n_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales		1306721	59.59	74	0.271	71.11	0.85	75.0	0.249	69.22	0.656	162.654	0.6	189.555	0.496	130.058	0.491	142.301	0.387	119.164	0.629	152.159	5.126	1565.352	8.191	2531.106	4.747	1581.137	6.353	2015.13	5.131	1528.477	5.527	1755.369	2.618	880.291	8.455	2679.525	5.355	1730.89	4.134	1452.117	7.986	2698.572	5.863	1818.185	0.535	167.669	0.761	194.255	0.67	186.483	0.588	143.243	2.729	3265.585	0.474	117.666	0.508	113.176	0.53	151.557	0.751	194.548	0.76	201.337	0.597	185.331	6.242	1864.621	4.349	1375.349	9.909	3145.091	8.584	2454.667	11.836	3594.111	3.463	1018.567	1.595	1747.898	3.263	1316.298	2.687	959.47	10.747	2902.592	11.7	3374.907	17.043	5406.802	7.932	2445.796	3.728	4099.795	6.91	8187.065	0.508	117.478	0.839	239.699	0.29	92.002	0.869	207.507	0.467	155.819	0.68	218.055	0.625	193.4
