	Grp	Genus	Organism	1	2	3	4
18	E.FunA	Colletotrichum	M cfj	CFIO01_03804	CFIO01_01160CFIO01_06023	CFIO01_03500CFIO01_07600CFIO01_03076CFIO01_09201CFIO01_01234	CFIO01_10912
19	E.FunA	Colletotrichum	M clup	CLUP02_18273	CLUP02_16847CLUP02_17623CLUP02_07917CLUP02_12908	CLUP02_14126CLUP02_14331CLUP02_16586CLUP02_17620CLUP02_07287	CLUP02_16504
20	E.FunA	Colletotrichum	M chig	CH63R_06688CH63R_13541	CH63R_04175CH63R_06617CH63R_12165	CH63R_06123CH63R_06281CH63R_06423	CH63R_14161
21	E.FunA	Eutypa	M ela	UCREL1_1117UCREL1_10531	UCREL1_9085UCREL1_5454	UCREL1_2270UCREL1_9086UCREL1_3713UCREL1_3870	UCREL1_5939
22	E.FunA	Botrytis	M bfu	BCIN_03g03550	BCIN_08g03150	BCIN_11g03090BCIN_07g03760	BCIN_08g04730
23	E.FunA	Mollisia	M psco	LY89DRAFT_70655	LY89DRAFT_63810	LY89DRAFT_48600LY89DRAFT_69129LY89DRAFT_61689LY89DRAFT_77492	LY89DRAFT_57590
24	E.FunA	Glarea	M glz	GLAREA_06711	GLAREA_06224	GLAREA_06008GLAREA_11810	GLAREA_05945
25	E.FunA	Aspergillus	M ani	AN8935.2AN8551.2	AN0034.2	AN2875.2AN2334.2AN1888.2	AN5604.2
26	E.FunA	Aspergillus	M afm	AFUA_3G02910	AFUA_5G12690	AFUA_3G11690AFUA_5G10290	AFUA_4G11310
27	E.FunA	Aspergillus	M nfi	NFIA_003880NFIA_004690	NFIA_074520	NFIA_065640NFIA_076970	NFIA_105220
28	E.FunA	Aspergillus	M aor	AO090001000322AO090023000345	AO090120000396	AO090003000725AO090010000514AO090701000462AO090009000324AO090009000065AO090001000120	AO090003001089
29	E.FunA	Aspergillus	M ang	ANI_1_510124	ANI_1_890124	ANI_1_1038024ANI_1_628124ANI_1_1288144ANI_1_558044	ANI_1_884184
30	E.FunA	Aspergillus	M afv	AFLA_008666AFLA_006693	AFLA_009615	AFLA_000958AFLA_011034AFLA_011301AFLA_004982AFLA_013994AFLA_008460	AFLA_000581
31	E.FunA	Aspergillus	M aluc	AKAW2_41032AAKAW2_80002A	AKAW2_41262A	AKAW2_41100AAKAW2_70007SAKAW2_10615AAKAW2_81348S	AKAW2_51504S
32	E.FunA	Aspergillus	M ache	ACHE_70026A	ACHE_80736AACHE_41301S	ACHE_80290AACHE_20026SACHE_21157AACHE_31305SACHE_41041S	ACHE_10564A
33	E.FunA	Aspergillus	M apuu	APUU_61016SAPUU_80790SAPUU_30076S	APUU_12137S	APUU_60131AAPUU_20676AAPUU_21189SAPUU_22160AAPUU_30689A	APUU_40965S
34	E.FunA	Talaromyces	M tmf	EYB26_008814	EYB26_001827EYB26_008813	EYB26_000570	EYB26_005350
35	E.FunA	Talaromyces	M trg	TRUGW13939_0150TRUGW13939_0509	TRUGW13939_0533TRUGW13939_0549	TRUGW13939_0404TRUGW13939_0675	TRUGW13939_0283
36	E.FunA	Parastagonospora	M pno	SNOG_09852	SNOG_10451SNOG_10035	SNOG_08226SNOG_00832	SNOG_14342
37	E.FunA	Pyrenophora	M pte	PTT_19509	PTT_11819PTT_16801	PTT_12279PTT_07562	PTT_07091
38	E.FunA	Bipolaris	M bze	COCCADRAFT_1029	COCCADRAFT_9558COCCADRAFT_2732	COCCADRAFT_3612COCCADRAFT_1054COCCADRAFT_1106	COCCADRAFT_2759
39	E.FunA	Bipolaris	M bsc	COCSADRAFT_7750	COCSADRAFT_1413COCSADRAFT_2973	COCSADRAFT_3983COCSADRAFT_3694COCSADRAFT_3584	COCSADRAFT_1085
40	E.FunA	Bipolaris	M bor	COCMIDRAFT_1026	COCMIDRAFT_3711COCMIDRAFT_3372	COCMIDRAFT_3912COCMIDRAFT_9404COCMIDRAFT_9955	COCMIDRAFT_8527
41	E.FunA	Alternaria	M aalt	CC77DRAFT_92410CC77DRAFT_10332	CC77DRAFT_10228CC77DRAFT_92993	CC77DRAFT_10171CC77DRAFT_43605CC77DRAFT_56331	CC77DRAFT_10502
42	E.FunA	Zymoseptoria	M ztr	MYCGRDRAFT_8625	MYCGRDRAFT_5439MYCGRDRAFT_7642	MYCGRDRAFT_7026MYCGRDRAFT_6818	MYCGRDRAFT_1038
43	E.FunA	Pseudocercospora	M pfj	MYCFIDRAFT_2165	MYCFIDRAFT_1586MYCFIDRAFT_5970	MYCFIDRAFT_2104MYCFIDRAFT_7527MYCFIDRAFT_4135	MYCFIDRAFT_5315
44	E.FunA	Fulvia	M ffu	CLAFUR5_08012	CLAFUR5_03250CLAFUR5_08051CLAFUR5_08191CLAFUR5_01064	CLAFUR5_03540CLAFUR5_05490CLAFUR5_06597	CLAFUR5_05785
45	E.FunA	Baudoinia	M bcom	BAUCODRAFT_7570	BAUCODRAFT_1924BAUCODRAFT_4201	BAUCODRAFT_1357BAUCODRAFT_6683BAUCODRAFT_3241	BAUCODRAFT_6619
46	E.FunA	Neofusicoccum	M npa	UCRNP2_5919	UCRNP2_6467	UCRNP2_5430UCRNP2_6985UCRNP2_9704	UCRNP2_3054
47	E.FunB	Cryptococcus	M cne	CNM01730CNE00140	CNC04180CNA08050	CNB00300CNC01860	CNA00470
48	E.FunB	Cryptococcus	M cnb	CNBM1610CNBE0050	CNBC3010CNBA7870	CNBC5390CNBB5380	CNBA0460
49	E.FunB	Cryptococcus	M cng	CNAG_02552CNAG_06172	CNAG_00826CNAG_02799	CNAG_06770CNAG_01675	CNAG_00057
50	E.FunB	Cryptococcus	M cgi	CGB_M2360CCGB_L0060W	CGB_C6280CCGB_A9430C	CGB_B9420CCGB_C2690W	CGB_B0490C
51	E.FunB	Tremella	M tms	TREMEDRAFT_6883	TREMEDRAFT_3289TREMEDRAFT_2996	TREMEDRAFT_5685TREMEDRAFT_6556	TREMEDRAFT_6825
52	E.FunB	Stereum	M shs	STEHIDRAFT_1498	STEHIDRAFT_1396STEHIDRAFT_5891	STEHIDRAFT_1317STEHIDRAFT_1681	STEHIDRAFT_7448
53	E.FunB	Moniliophthora	M mrr	Moror_11317	Moror_9773Moror_17275	Moror_3858Moror_16673	Moror_6546
54	E.FunB	Schizophyllum	M scm	SCHCO_02629548	SCHCO_02545094SCHCO_02619084	SCHCO_02629535SCHCO_02615209	SCHCO_02607718
55	E.FunB	Pseudozyma	M pfp	PFL1_02180	PFL1_00034	PFL1_00055PFL1_04466	PFL1_03975
