	Grp	Genus	Organism	1	2	3	4	5	6
12	A.Eur	Methanosarcina	M mbak	MSBR3_3310	MSBR3_1827	MSBR3_1318	MSBR3_3475	MSBR3_1316	MSBR3_1317
13	A.Eur	Methanosarcina	M mac	MA_4436	MA_0636	MA_1473	MA_0006	MA_1475	MA_1474
14	A.Eur	Methanosarcina	M mma	MM_1114	MM_1802	MM_2512	MM_1317	MM_2510	MM_2511
15	A.Eur	Methanosarcina	M mmj	MSMAS_0189	MSMAS_2883	MSMAS_2191	MSMAS_3345	MSMAS_2193	MSMAS_2192
16	A.Eur	Methanosarcina	M mmac	MSMAC_0194	MSMAC_1551	MSMAC_2263	MSMAC_3369	MSMAC_2261	MSMAC_2262
17	A.Eur	Methanosarcina	M mvc	MSVAZ_0170	MSVAZ_2704	MSVAZ_1449	MSVAZ_3508	MSVAZ_1446	MSVAZ_1447
18	A.Eur	Methanosarcina	M mek	MSKOL_0164	MSKOL_2708	MSKOL_1394	MSKOL_3476	MSKOL_1391	MSKOL_1392
19	A.Eur	Methanosarcina	M mls	MSLAZ_2918	MSLAZ_0359	MSLAZ_0910	MSLAZ_3221	MSLAZ_0912	MSLAZ_0911
20	A.Eur	Methanosarcina	M metm	MSMTP_0219	MSMTP_2810	MSMTP_0945	MSMTP_3249	MSMTP_0947	MSMTP_0946
21	A.Eur	Methanosarcina	M mef	MSWH1_0488	MSWH1_2805	MSWH1_1888	MSWH1_3197	MSWH1_1890	MSWH1_1889
22	A.Eur	Methanosarcina	M meq	MSWHS_0497	MSWHS_2230	MSWHS_3185	MSWHS_3405	MSWHS_3183	MSWHS_3184
23	A.Eur	Methanosarcina	M msj	MSSAC_4117	MSSAC_0572	MSSAC_1477	MSSAC_4399	MSSAC_1475	MSSAC_1476
24	A.Eur	Methanosarcina	M msz	MSSIH_3653	MSSIH_0522	MSSIH_1482	MSSIH_3899	MSSIH_1484	MSSIH_1483
25	A.Eur	Methanosarcina	M msw	MSSIT_3708	MSSIT_0552	MSSIT_1538	MSSIT_3970	MSSIT_1540	MSSIT_1539
26	A.Eur	Methanosarcina	M mthr	MSTHT_1717	MSTHT_2208	MSTHT_0227	MSTHT_1822	MSTHT_0225	MSTHT_0226
27	A.Eur	Methanosarcina	M mthe	MSTHC_1571	MSTHC_1072	MSTHC_0505	MSTHC_1464	MSTHC_0507	MSTHC_0506
28	A.Eur	Methanosarcina	M mhor	MSHOH_0241	MSHOH_3582	MSHOH_2800	MSHOH_4092	MSHOH_2802	MSHOH_2801
29	A.Eur	Methanosarcina	M mfz	AOB57_007765	AOB57_004795	AOB57_001285	AOB57_008380	AOB57_001295	AOB57_001290
30	A.Eur	Methanococcoides	M mmet	MCMEM_2157	MCMEM_1376	MCMEM_1764	MCMEM_2203	MCMEM_1762	MCMEM_1763
31	A.Eur	Methanococcoides	M melo	J7W08_09770	J7W08_05520	J7W08_07850	J7W08_10035	J7W08_07840	J7W08_07845
32	A.Eur	Methanohalophilus	M mmh	Mmah_1977	Mmah_1336	Mmah_1621	Mmah_2032	Mmah_1619	Mmah_1620
33	A.Eur	Methanohalophilus	M mhaz	BHR79_03745	BHR79_06985	BHR79_05620	BHR79_03475	BHR79_05630	BHR79_05625
34	A.Eur	Methanolobus	M mpy	Mpsy_1294	Mpsy_0899	Mpsy_2544	Mpsy_1730	Mpsy_2546	Mpsy_2545
35	A.Eur	Methanolobus	M mzi	HWN40_02195	HWN40_04100	HWN40_09625	HWN40_01010	HWN40_09635	HWN40_09630
36	A.Eur	Methanomethylovorans	M mhz	Metho_1723	Metho_0766	Metho_0938	Metho_2460	Metho_0940	Metho_0939
37	A.Eur	Methanothrix	M mcj	MCON_2254	MCON_2279	MCON_0142	MCON_2882	MCON_1686	MCON_2321
38	A.Eur	Methanothrix	M mhi	Mhar_0838	Mhar_2101	Mhar_1245	Mhar_0758	Mhar_1058	Mhar_2357
39	A.Eur	Methanocella	M mpd	MCP_2988	MCP_1841	MCP_0670	MCP_0399	MCP_1324	MCP_1325
