	Name	Path	Lev1	Lev2	Lev3
K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism | Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K00013	histidinol dehydrogenase [EC:1.1.1.23]	Metabolism; Amino acid metabolism; Histidine metabolism	Metabolism	Amino acid metabolism	Histidine metabolism
K00014	shikimate dehydrogenase [EC:1.1.1.25]	Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis	Metabolism	Amino acid metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis
K00015	glyoxylate reductase [EC:1.1.1.26]	Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism
K00016	L-lactate dehydrogenase [EC:1.1.1.27]	Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Organismal Systems; Endocrine system; Glucagon signaling pathway | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K00018	glycerate dehydrogenase [EC:1.1.1.29]	Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism
K00019	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Lipid metabolism; Synthesis and degradation of ketone bodies	Metabolism	Carbohydrate metabolism	Butanoate metabolism
K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation	Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation
K00021	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis | Environmental Information Processing; Signal transduction; AMPK signaling pathway | Organismal Systems; Digestive system; Bile secretion	Metabolism	Metabolism of terpenoids and polyketides	Terpenoid backbone biosynthesis
K00022	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Lipid metabolism; Fatty acid elongation | Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation | Metabolism; Amino acid metabolism; Lysine degradation | Metabolism; Amino acid metabolism; Tryptophan metabolism | Metabolism; Metabolism of terpenoids and polyketides; Geraniol degradation | Metabolism; Xenobiotics biodegradation and metabolism; Caprolactam degradation	Metabolism	Amino acid metabolism	Butanoate metabolism
K00023	acetoacetyl-CoA reductase [EC:1.1.1.36]	Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Carbohydrate metabolism; Butanoate metabolism	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism
K00024	malate dehydrogenase [EC:1.1.1.37]	Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00025	malate dehydrogenase [EC:1.1.1.37]	Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Organismal Systems; Excretory system; Proximal tubule bicarbonate reclamation	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00026	malate dehydrogenase [EC:1.1.1.37]	Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00027	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Environmental Information Processing; Signal transduction; Two-component system	Metabolism	Carbohydrate metabolism	Pyruvate metabolism
K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms	Metabolism	Carbohydrate metabolism	Pyruvate metabolism
K00030	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle)	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00031	isocitrate dehydrogenase [EC:1.1.1.42]	Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Metabolism; Metabolism of other amino acids; Glutathione metabolism | Cellular Processes; Transport and catabolism; Peroxisome	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00032	phosphogluconate 2-dehydrogenase [EC:1.1.1.43]	Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Metabolism of other amino acids; Glutathione metabolism	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Metabolism of other amino acids; Glutathione metabolism	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K00034	glucose 1-dehydrogenase [EC:1.1.1.47]	Metabolism; Carbohydrate metabolism; Pentose phosphate pathway	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K00035	D-galactose 1-dehydrogenase [EC:1.1.1.48]	Metabolism; Carbohydrate metabolism; Galactose metabolism	Metabolism	Carbohydrate metabolism	Galactose metabolism
K00038	3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]	Metabolism; Lipid metabolism; Steroid hormone biosynthesis	Metabolism	Lipid metabolism	Steroid hormone biosynthesis
K00039	ribitol 2-dehydrogenase [EC:1.1.1.56]	Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K00040	fructuronate reductase [EC:1.1.1.57]	Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K00041	tagaturonate reductase [EC:1.1.1.58]	Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K00042	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism
K00043	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]	Metabolism; Carbohydrate metabolism; Butanoate metabolism	Metabolism	Carbohydrate metabolism	Butanoate metabolism
K00044	17beta-estradiol 17-dehydrogenase [EC:1.1.1.62]	Metabolism; Lipid metabolism; Steroid hormone biosynthesis | Organismal Systems; Endocrine system; Ovarian steroidogenesis	Metabolism	Lipid metabolism	Steroid hormone biosynthesis
K00045	mannitol 2-dehydrogenase [EC:1.1.1.67]	Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K00046	gluconate 5-dehydrogenase [EC:1.1.1.69]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers
K00048	lactaldehyde reductase [EC:1.1.1.77]	Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Carbohydrate metabolism; Propanoate metabolism	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism
K00049	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]	Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism	Metabolism	Carbohydrate metabolism	Pyruvate metabolism
K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	Metabolism; Carbohydrate metabolism; C5-Branched dibasic acid metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine biosynthesis	Metabolism	Carbohydrate metabolism	C5-Branched dibasic acid metabolism
K00053	ketol-acid reductoisomerase [EC:1.1.1.86]	Metabolism; Amino acid metabolism; Valine, leucine and isoleucine biosynthesis | Metabolism; Metabolism of cofactors and vitamins; Pantothenate and CoA biosynthesis	Metabolism	Amino acid metabolism	Valine, leucine and isoleucine biosynthesis
K00054	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis	Metabolism	Metabolism of terpenoids and polyketides	Terpenoid backbone biosynthesis
K00055	aryl-alcohol dehydrogenase [EC:1.1.1.90]	Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Amino acid metabolism; Phenylalanine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Toluene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Xylene degradation	Metabolism	Amino acid metabolism	Tyrosine metabolism
K00057	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	Metabolism; Lipid metabolism; Glycerophospholipid metabolism	Metabolism	Lipid metabolism	Glycerophospholipid metabolism
K00058	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	Metabolism; Energy metabolism; Methane metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	Metabolism	Energy metabolism	Methane metabolism
K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	Metabolism; Lipid metabolism; Fatty acid biosynthesis | Metabolism; Metabolism of cofactors and vitamins; Biotin metabolism | Metabolism; Biosynthesis of other secondary metabolites; Prodigiosin biosynthesis | Brite Hierarchies; Protein families: metabolism; Lipid biosynthesis proteins	Metabolism	Lipid metabolism	Fatty acid biosynthesis
K00060	threonine 3-dehydrogenase [EC:1.1.1.103]	Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism	Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism
K00061	11-cis-retinol dehydrogenase [EC:1.1.1.315]	Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism	Metabolism	Metabolism of cofactors and vitamins	Retinol metabolism
K00063	D-arabinose 1-dehydrogenase [EC:1.1.1.117]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers
K00064	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K00065	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K00066	GDP-mannose 6-dehydrogenase [EC:1.1.1.132]	Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Environmental Information Processing; Signal transduction; Two-component system	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K00067	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	Metabolism; Metabolism of terpenoids and polyketides; Polyketide sugar unit biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Streptomycin biosynthesis	Metabolism	Metabolism of terpenoids and polyketides	Polyketide sugar unit biosynthesis
K00068	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K00069	15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]	Human Diseases; Cancers: Overview; Transcriptional misregulation in cancer | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	Human Diseases	Cancers: Overview	Transcriptional misregulation in cancer
K00071	corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-]	Metabolism; Lipid metabolism; Steroid hormone biosynthesis | Organismal Systems; Excretory system; Aldosterone-regulated sodium reabsorption	Metabolism	Lipid metabolism	Steroid hormone biosynthesis
K00073	ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]	Metabolism; Nucleotide metabolism; Purine metabolism	Metabolism	Nucleotide metabolism	Purine metabolism
K00074	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Amino acid metabolism; Phenylalanine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Benzoate degradation	Metabolism	Carbohydrate metabolism	Butanoate metabolism
K00075	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Metabolism; Glycan biosynthesis and metabolism; Peptidoglycan biosynthesis | Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism
K00076	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	Metabolism; Lipid metabolism; Secondary bile acid biosynthesis	Metabolism	Lipid metabolism	Secondary bile acid biosynthesis
K00077	2-dehydropantoate 2-reductase [EC:1.1.1.169]	Metabolism; Metabolism of cofactors and vitamins; Pantothenate and CoA biosynthesis	Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis
K00078	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]	Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K00079	carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]	Metabolism; Lipid metabolism; Arachidonic acid metabolism | Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450 | Human Diseases; Cancers: Overview; Chemical carcinogenesis	Metabolism	Lipid metabolism	Arachidonic acid metabolism
K00082	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]	Metabolism; Metabolism of cofactors and vitamins; Riboflavin metabolism	Metabolism	Metabolism of cofactors and vitamins	Riboflavin metabolism
K00083	cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	Metabolism; Biosynthesis of other secondary metabolites; Phenylpropanoid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K00084	carbonyl reductase 3 [EC:1.1.1.184]	Metabolism; Lipid metabolism; Arachidonic acid metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450	Metabolism	Lipid metabolism	Arachidonic acid metabolism
K00086	1,3-propanediol dehydrogenase [EC:1.1.1.202]	Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Lipid metabolism; Glycerolipid metabolism	Metabolism	Carbohydrate metabolism	Propanoate metabolism
K00087	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	Metabolism; Nucleotide metabolism; Purine metabolism	Metabolism	Nucleotide metabolism	Purine metabolism
K00088	IMP dehydrogenase [EC:1.1.1.205]	Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	Metabolism	Nucleotide metabolism	Purine metabolism
K00090	glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]	Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K00091	dihydroflavonol-4-reductase [EC:1.1.1.219]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers
K00093	methanol dehydrogenase [EC:1.1.1.244]	Metabolism; Energy metabolism; Methane metabolism	Metabolism	Energy metabolism	Methane metabolism
K00094	galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]	Metabolism; Carbohydrate metabolism; Galactose metabolism	Metabolism	Carbohydrate metabolism	Galactose metabolism
K00096	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	Metabolism; Lipid metabolism; Glycerophospholipid metabolism	Metabolism	Lipid metabolism	Glycerophospholipid metabolism
K00097	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	Metabolism; Metabolism of cofactors and vitamins; Vitamin B6 metabolism	Metabolism	Metabolism of cofactors and vitamins	Vitamin B6 metabolism
K00098	L-idonate 5-dehydrogenase [EC:1.1.1.264]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers
K00099	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis	Metabolism	Metabolism of terpenoids and polyketides	Terpenoid backbone biosynthesis
K00100	butanol dehydrogenase [EC:1.1.1.-]	Metabolism; Carbohydrate metabolism; Butanoate metabolism	Metabolism	Carbohydrate metabolism	Butanoate metabolism
K00101	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	Metabolism; Carbohydrate metabolism; Pyruvate metabolism	Metabolism	Carbohydrate metabolism	Pyruvate metabolism
K00102	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	Metabolism; Carbohydrate metabolism; Pyruvate metabolism	Metabolism	Carbohydrate metabolism	Pyruvate metabolism
K00103	L-gulonolactone oxidase [EC:1.1.3.8]	Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism
K00104	glycolate oxidase [EC:1.1.3.15]	Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism
K00106	xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]	Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Biosynthesis of other secondary metabolites; Caffeine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes | Cellular Processes; Transport and catabolism; Peroxisome | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	Metabolism	Nucleotide metabolism	Purine metabolism
K00108	choline dehydrogenase [EC:1.1.99.1]	Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism	Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism
K00111	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	Metabolism; Lipid metabolism; Glycerophospholipid metabolism	Metabolism	Lipid metabolism	Glycerophospholipid metabolism
K00112	glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]	Metabolism; Lipid metabolism; Glycerophospholipid metabolism	Metabolism	Lipid metabolism	Glycerophospholipid metabolism
K00113	glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]	Metabolism; Lipid metabolism; Glycerophospholipid metabolism	Metabolism	Lipid metabolism	Glycerophospholipid metabolism
K00114	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]	Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K00117	quinoprotein glucose dehydrogenase [EC:1.1.5.2]	Metabolism; Carbohydrate metabolism; Pentose phosphate pathway	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K00118	glucose-fructose oxidoreductase [EC:1.1.99.28]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers
K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Naphthalene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450 | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - cytochrome P450 | Human Diseases; Cancers: Overview; Chemical carcinogenesis	Metabolism	Xenobiotics biodegradation and metabolism	Glycolysis / Gluconeogenesis
K00122	formate dehydrogenase [EC:1.17.1.9]	Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism
K00123	formate dehydrogenase major subunit [EC:1.17.1.9]	Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism
K00124	formate dehydrogenase iron-sulfur subunit	Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism
K00125	formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]	Metabolism; Energy metabolism; Methane metabolism	Metabolism	Energy metabolism	Methane metabolism
K00127	formate dehydrogenase subunit gamma	Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism
