	sType	Feature	KW	Group1	Group2	p	q
22	FL	Cryptobacteroides	0.018411430067258663	AN1	FV1	0.6744240722352912	0.75271380626305
23	FL	Cryptobacteroides	0.018411430067258663	AN1	FV2	0.4008141693829329	0.5465647764312722
24	FL	Cryptobacteroides	0.018411430067258663	AN2	AT	0.07420341132975534	0.18550852832438836
25	FL	Cryptobacteroides	0.018411430067258663	AN2	FV1	0.3445623653256964	0.5465647764312722
26	FL	Cryptobacteroides	0.018411430067258663	AN2	FV2	0.75271380626305	0.75271380626305
27	FL	Cryptobacteroides	0.018411430067258663	AT	FV1	0.006322947695810918	0.043257707669737515
28	FL	Cryptobacteroides	0.018411430067258663	AT	FV2	0.027423154381354658	0.10283682893007996
29	FL	Cryptobacteroides	0.018411430067258663	FV1	FV2	0.6744240722352912	0.75271380626305
30	FL	Bacteroidales (UBA1711)	0.3785067345970068	-	-	-	-
31	FL	Treponema (D)	0.2875721332573542	-	-	-	-
32	FL	Limosilactobacillus	0.17010731831675974	-	-	-	-
33	FL	Limimorpha	0.23566362186815046	-	-	-	-
34	FL	Lactobacillus	0.10496436305915698	-	-	-	-
35	FL	Prevotella	0.21799771398145004	-	-	-	-
36	FR	Lachnospiraceae	0.8708807480969994	-	-	-	-
37	FR	Cryptobacteroides	0.9302153041104185	-	-	-	-
38	FR	Bacteroidales (UBA1711)	0.2412059454887647	-	-	-	-
39	FR	Treponema (D)	0.02064430462695175	AT	FV1	0.0825792741523263	0.20644818538081575
40	FR	Treponema (D)	0.02064430462695175	AT	FV2	0.011718685599768571	0.08789014199826428
41	FR	Treponema (D)	0.02064430462695175	AT	TMR	0.045999366875037154	0.13799810062511148
42	FR	Treponema (D)	0.02064430462695175	AT	AN1	0.027423154381354658	0.1371157719067733
43	FR	Treponema (D)	0.02064430462695175	AT	AN2	0.002322094515878006	0.03483141773817009
44	FR	Treponema (D)	0.02064430462695175	FV1	FV2	0.4178869643175006	0.5698458604329554
45	FR	Treponema (D)	0.02064430462695175	FV1	TMR	0.6434288435636143	0.7424178964195549
46	FR	Treponema (D)	0.02064430462695175	FV1	AN1	0.8169613217153878	0.8169613217153878
47	FR	Treponema (D)	0.02064430462695175	FV1	AN2	0.29762146789111255	0.4960357798185209
48	FR	Treponema (D)	0.02064430462695175	FV2	TMR	0.2479958148314818	0.4649921528090284
49	FR	Treponema (D)	0.02064430462695175	FV2	AN1	0.528612125255687	0.6607651565696088
50	FR	Treponema (D)	0.02064430462695175	FV2	AN2	0.4008141693829329	0.5698458604329554
51	FR	Treponema (D)	0.02064430462695175	TMR	AN1	0.75271380626305	0.8064790781389821
52	FR	Treponema (D)	0.02064430462695175	TMR	AN2	0.045999366875037154	0.13799810062511148
53	FR	Treponema (D)	0.02064430462695175	AN1	AN2	0.11518373151505139	0.24682228181796725
54	FR	Limosilactobacillus	0.037087966249748236	AT	FV1	0.02789052912024638	0.13945264560123188
55	FR	Limosilactobacillus	0.037087966249748236	AT	FV2	0.004574439456210672	0.034308295921580044
56	FR	Limosilactobacillus	0.037087966249748236	AT	TMR	0.05870740843120496	0.22015278161701862
57	FR	Limosilactobacillus	0.037087966249748236	AT	AN1	0.3445623653256964	0.5908991329558332
58	FR	Limosilactobacillus	0.037087966249748236	AT	AN2	0.004574439456210672	0.034308295921580044
59	FR	Limosilactobacillus	0.037087966249748236	FV1	FV2	0.35453947977349987	0.5908991329558332
60	FR	Limosilactobacillus	0.037087966249748236	FV1	TMR	0.8169613217153878	0.8753157018379155
61	FR	Limosilactobacillus	0.037087966249748236	FV1	AN1	0.5628337539173243	0.6494235622122972
62	FR	Limosilactobacillus	0.037087966249748236	FV1	AN2	0.35453947977349987	0.5908991329558332
63	FR	Limosilactobacillus	0.037087966249748236	FV2	TMR	0.4622499461255404	0.630340835625737
64	FR	Limosilactobacillus	0.037087966249748236	FV2	AN1	0.09289194088370446	0.2786758226511134
65	FR	Limosilactobacillus	0.037087966249748236	FV2	AN2	0.9163591402734728	0.9163591402734728
66	FR	Limosilactobacillus	0.037087966249748236	TMR	AN1	0.528612125255687	0.6494235622122972
67	FR	Limosilactobacillus	0.037087966249748236	TMR	AN2	0.4008141693829329	0.6012212540743994
68	FR	Limosilactobacillus	0.037087966249748236	AN1	AN2	0.141482121482789	0.35370530370697245
69	FR	Limimorpha	0.012198761056367607	AT	FV1	0.020524463598227655	0.09857007187507962
70	FR	Limimorpha	0.012198761056367607	AT	FV2	0.027309548524392765	0.09857007187507962
71	FR	Limimorpha	0.012198761056367607	AT	TMR	0.035556231642397844	0.09857007187507962
72	FR	Limimorpha	0.012198761056367607	AT	AN1	0.011657050384480564	0.09857007187507962
73	FR	Limimorpha	0.012198761056367607	AT	AN2	0.0458395301651684	0.09857007187507962
74	FR	Limimorpha	0.012198761056367607	FV1	FV2	0.16491482255329715	0.2248838489363143
75	FR	Limimorpha	0.012198761056367607	FV1	TMR	0.13246356680795063	0.19869535021192594
76	FR	Limimorpha	0.012198761056367607	FV1	AN1	0.7284541890106637	0.75271380626305
77	FR	Limimorpha	0.012198761056367607	FV1	AN2	0.13246356680795063	0.19869535021192594
78	FR	Limimorpha	0.012198761056367607	FV2	TMR	0.2479958148314818	0.30999476853935226
79	FR	Limimorpha	0.012198761056367607	FV2	AN1	0.045999366875037154	0.09857007187507962
80	FR	Limimorpha	0.012198761056367607	FV2	AN2	0.75271380626305	0.75271380626305
81	FR	Limimorpha	0.012198761056367607	TMR	AN1	0.09289194088370446	0.17417238915694588
82	FR	Limimorpha	0.012198761056367607	TMR	AN2	0.2936215439289016	0.3387940891487326
83	FR	Limimorpha	0.012198761056367607	AN1	AN2	0.0356919001168044	0.09857007187507962
84	FR	Lactobacillus	0.12452287642027261	-	-	-	-
85	FR	Prevotella	0.01750695062820678	AT	FV1	0.015087255494406484	0.07543627747203241
86	FR	Prevotella	0.01750695062820678	AT	FV2	0.05870740843120496	0.1467685210780124
87	FR	Prevotella	0.01750695062820678	AT	TMR	0.05870740843120496	0.1467685210780124
88	FR	Prevotella	0.01750695062820678	AT	AN1	0.004574439456210672	0.06861659184316009
89	FR	Prevotella	0.01750695062820678	AT	AN2	0.2936215439289016	0.4404323158933524
90	FR	Prevotella	0.01750695062820678	FV1	FV2	0.0825792741523263	0.17695558746927065
91	FR	Prevotella	0.01750695062820678	FV1	TMR	0.24715997321190364	0.4119332886865061
92	FR	Prevotella	0.01750695062820678	FV1	AN1	0.9078685009495221	0.9078685009495221
93	FR	Prevotella	0.01750695062820678	FV1	AN2	0.04914083391185104	0.1467685210780124
94	FR	Prevotella	0.01750695062820678	FV2	TMR	0.5995101785599999	0.6423323341714284
95	FR	Prevotella	0.01750695062820678	FV2	AN1	0.17216723606659268	0.3228135676248613
96	FR	Prevotella	0.01750695062820678	FV2	AN2	0.4008141693829329	0.5465647764312722
97	FR	Prevotella	0.01750695062820678	TMR	AN1	0.528612125255687	0.6099370676027158
98	FR	Prevotella	0.01750695062820678	TMR	AN2	0.4622499461255404	0.5778124326569254
99	FR	Prevotella	0.01750695062820678	AN1	AN2	0.011718685599768571	0.07543627747203241
